Reference;Advisliste;Afsender;Posteringstype;match_regel;Beløb1;Beløb2;beløb_regel;Posteringstekst;Artskonto;PSP-element;SIO;Notat
5386888 224173;null;null;null;Indeholder;null;null;null;DK5386888 224173 - Søndermarkskolen hyttetur for 3. klasse;79000000;XG-0000002531-00015;null;null
5386888 225973;null;null;null;Indeholder;null;null;null;DK5386888 225973 Søndermarkskolen. Lejrtur Skagen;79000000;XG-0000002531-00015;null;null
5386888 226407;null;null;null;Indeholder;null;null;null;DK5386888 226407 Søndermarkskolen, Hyttetur 3. årgang;79000000;XG-0000002531-00015;null;null
5386888 121400;null;null;null;Indeholder;null;null;null;DK5386888 231400 - Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 231400;null;null;null;Indeholder;null;null;null;DK5386888 231400 - Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 231526;null;null;null;Indeholder;null;null;null;DK5386888 231400 - Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 231529;null;null;null;Indeholder;null;null;null;DK5386888 231400 - Bådpladser Udbyhøj;79000000;XG-0000004025-00001;null;null
5386888 241777;null;null;null;Indeholder;null;null;null;DK5386888 241777 - Kristrup Skole – Lejrskole for 6. klasserne;79000000;XG-0000002475-00015;null;null
5386888 241798;null;null;null;Indeholder;null;null;null;DK5386888 241798 - Kristrup Skole – Lejrskole for 6. klasserne;79000000;XG-0000002475-00015;null;null
5386888 241816;null;null;null;Indeholder;null;null;null;DK5386888 241816 / Hyttetur for 3. årgang;79000000;XG-0000002475-00015;null;null
